what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649209939124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649209947933
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649209948164
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649209950585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649209954326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649209956436
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649209956871
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649209960111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649209960405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649209960510
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649209960515
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649209966928
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649210063283
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649210065641
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649210067448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210071284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210073373
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649210073812
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649210076629
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649210076922
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649210083622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210086854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210131977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210134632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210148436
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649210148452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210157484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210159708
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649210160267
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649210163257
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649210163545
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649210170276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210176062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210195054
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649210195085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210198313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210200522
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649210200988
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649210204012
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649210204271
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649210210854
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649210216241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210227367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210231700
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649210231924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210239201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210333200
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649210333264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210340324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210342449
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649210342909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210345786
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649210346210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210346556
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649210346560
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649210353269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210418299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649210420588
